Feature,Importance
model_encoded,24.751682866564067
year,24.341232520744583
engineSize,20.43099730179334
mileage,12.592240429939105
mpg,12.3752584968771
fuelType_encoded,3.440160938693278
transmission_encoded,2.068427445388521
tax,0.0
